frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,RB,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GR,,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYB,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWY,,,AB,,,,,,,,,,,,,,,
,,3/14/16,11:00 am,22,28,RBY,9,0,RBY,R,,L,8,RWY,R,, -UNMARKED,,WEB,,,,,,0,,
,,,,,,,,,UNMARKED,R,,W,,GR,R,, -UNMARKED,,,,,,,,,,
,,,,,,,,,GBG,G,,W,,GWBl,R,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,GWR,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,RYB,R,,,,,,,,,,,,
,,,,,,,,,G_,R,,W,,RG,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,RBl,R,,,,,,,,,,,,
,,,,,,,,,GWY,G,,L,,RWR,R,,,,,,,,,,,,
,,,,,,,,,GW_,,,AB,,,,,,,,,,,,,,,
,,3/16/16,12:22 pm,23,35,RB,7,,RB,UP,WEB,AN,0,,,, -RG,,,,,,,,0,,
,,,,,,,,,UNMARKED,UP,,L/T,,,,,,,,,,,,,,,
,,,,,,,,,RWR,UP,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,G_,UP,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,W/T,,,,,,,,,,,,,,,
,,3/16/16,1:16 pm,24,4,RBY,13,,RWY,R,,L/AB,4,RWR,,, -UNMARKED,G,,,,,,,0,,
,,,,,,,,,UNMARKED,R,,W,,RBl,R,, -RWY,,,,,,,,,,
,,,,,,,,,RYG,R,,T,,RBW,G,, +RWY,,,H,,,,,,,
,,,,,,,,,RWY,G,,L,,GY,DOWN,, -UNMARKED,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,W/T/AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GW_,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RB,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,T,,,,,,,,,,,,,,,
,,3/18/16,11:45 am,25,28,RBW,13,,RBW,UP,,W,0,,,, -UNMARKED,,,,,,,,0,,
,,,,,,,,,RBY,UP,,W/AB,,,,, +UNMARKED,,,,,,,,,,
,,,,,,,,,RB,R,,L/T,,,,, -RWG,G,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,, -GY,,,,,,,,,,
,,,,,,,,,GYB,G,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,,,H,,,,,,,,,,,,,,,
,,,,,,,,,RG,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
