frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GB ,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBl,,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,AB,,,,,,,,,,,,,,,
23,SCSR,3/13/16,5:10 PM,6,7,,,,,,,,4,RG,R,, - RBl,,,, -,,,,0,,
,,,,,,,,10,GYG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,11,RBl,R,,L,,GG,R,,,,,,,,,,,,
,,,,,,,,12,GWBl,G,,W,,RWG,R,,,,,,,,,,,,
,,,,,,,,66,RYG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,100,RBR,G,,AB/L,,,,,,,,,,,,,,,
,,,,,,,,548,RYW,DOWN,,AB,,,,,,,,,,,,,,,
23,SCSR,3/15/16,4:00 PM,7,8,RYBl,8,0,RYBl,R,,W,0,,,, - GWB,,,, - ,,,,0,,
,,,,,,,,,RYW,R,,L,,,,, - RYBl,,WEB,,,,,,,,
,,,,,,,,,RWG,R,,L/W,,,,, - RYW,,,,,,,,,,
,,,,,,,,,RWB,G,,AN ,,,,, + RYW,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, + RYBl,,,AB,,,,,,,
,,,,,,,,,GWB ,G,,L,,,,, - RWG,,,,,,,,,,
,,,,,,,,,RYG,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,,,H,,,,,,,,,,,,,,,
23,SCSR,3/16/16,9:40 AM,8,10,RW,9,0,RW,UP,,L,0,,,,,,,, - ,,,,0,,
,,,,,,,,,GYG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBY,,,T/L,,,,,,,,,,,,,,,
23,SCSR,3/18/16,12:10 PM,9,10,GB,9,0,GB,G,,L,3,RWB,R,,,,,, - ,,,,0,,
,,,,,,,,,RYG,R,,W,,GWG,R,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWB,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,AB,,,,,,,,,,,,,,,
23,SCSR,3/21/16,2:12 PM,10,22,RBY,3,0,RBY,R,,AN/L,4,GWR,R,,,,,, - ,,,,0,,
,,,,,,,,,RWG,G,,L,,GBW,R,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RWB,UP,,,,,,,,,,,,
23,SCSR,3/22/16,12:40 PM,11,65,RG,4,0,RG,R,,W/T,1,RW,R,,,,,, - ,,,,0,,
,,,,,,,,,RY,R,,W ,,,,,,,,,,,,,,,
,,,,,,,,,RYR,UP,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,W,,,,,,,,,,,,,,,
23,SCSR,3/23/16,12;09  Pm,12,150,RBG,1,0,RBG,R,,W,0,,,,,,,, - ,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SCSR,3/24/16,11:00 AM,13,61,RYR,3,0,RYR,FRAME,,W/T,1,,,, - RWG,,,, - ,,,,0,,
,,,,,,,,,RY,R,WEB,L,,,,, +RWG,,,L,,,,,,,
,,,,,,,,,RWG,R,,AB,,,,, - RYR,,,,,,,,,,
,,,,,,,,,,,,,,,,, + RYR,,,T,,,,,,,
,,,,,,,,,,,,,,,,, -RY ,,,,,,,,,,
23,SCSR,3/25/16,2:45 PM,14,70,GWBl,4,0,GWBl,UP,TP-UP,AN,1,RG,R,,,,,, - ,,,,0,,
,,,,,,,,,RWBl,UP,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBl,UP,TP-DOWN,L,,,,,,,,,,,,,,,
23,SCSR,3/26/16,10:08 AM,15,80,RWB,6,0,RWB,R,,L,2,RYR,G,, - RG,,,, - ,,,,0,,
,,,,,,,,,RG,R,,L/AN,,RYG,G,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,WEB,W,,,,,,,,,,,,,,,
,,,,,,,,,RY ,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,H,,,,,,,,,,,,,,,
