frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,149,GR,R,,AB,,RBR,G,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,AB,,,,,,,,,,,,,,,
28,SCSR,5/13/16,2:23 PM,8,47,RBR,6,0,RBR,G,,L/AB/H,3,RYW,G,, -RY,,,,G,163,,NA,1,,
,,,,,,,,,RBG,R,,W/H,,RBl,G,, -RWG,R,,,,,,,,,
,,,,,,,,,RY,R,,H,,RWBl,G,,,,,,,,,,,,
,,,,,,,,,RWG,R,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,W/T/H,,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,,L/AB,,,,,,,,,,,,,,,
28,SCSR,5/13/16,3:32 PM,9,13,GBW,10,0,GBW,G,,,4,RR,G,WEB, -RBl,,,,,,,,0,,
,,,,,,,,0,GWBl,R,,W,,RG,G,, -GYR,,,,,,,,,,
,,,,,,,,0,GYR,R,,W,,GR,R,, -RBW,,,,,,,,,,
,,,,,,,,1,RBG,G,,AB/T,,GBR,R,,,,,,,,,,,,
,,,,,,,,3,RBl,G,,T,,,,,,,,,,,,,,,
,,,,,,,,3,RY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,50,RBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,162,GBY,R,,H,,,,,,,,,,,,,,,
,,,,,,,,177,RBW,R,,T,,,,,,,,,,,,,,,
,,,,,,,,182,GBl,,,,,,,,,,,,,,,,,,
28,SCSR,5/13/16,4:30 PM,10,10,GWY,12,0,GWY,R,,W,1,GYW,R,, -GWY,,,,,,,,0,,
,,,,,,,,15,GBl,R,,L/H,,,,, -RY,,,,,,,,,,
,,,,,,,,20,RY,R,,,,,,, -GBR,,,,,,,,,,
,,,,,,,,20,GBR,R,,,,,,, -RBW,,WEB,,,,,,,,
,,,,,,,,20,RBW,G,,AN,,,,, -GBY,,,,,,,,,,
,,,,,,,,20,RR,G,,W/H,,,,, +GWY,,,T,,,,,,,
,,,,,,,,20,GY,R,,L/AB,,,,,,,,,,,,,,,
,,,,,,,,20,RW,G,TP-R,T,,,,,,,,,,,,,,,
,,,,,,,,50,GR,,,W/H,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,,AB,,,,,,,,,,,,,,,
28,SCSR,5/14/16,12:20 PM,11,3,RBl,7,0,RBl,G,,T/AB,4,GW,R,,,,,,,,,,0,,
,,,,,,,,,RWR,G,,AN/T,,RBY,R,,,,,,,,,,,,
,,,,,,,,,GG,G,,H,,GY,R,,,,,,,,,,,,
,,,,,,,,,GBG,R,,AB,,RYR,G,,,,,,,,,,,,
,,,,,,,,,GBW,R,,AB/L/AB,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,T,,,,,,,,,,,,,,,
28,SCSR,5/14/16,1:55 PM,12,12,RB,12,0,RB,R,,AN,9,RWG,R,, -RB,,,,,,,,0,,
,,,,,,,,7,RR,R,,T,,RBl,R,, -GYW,,,,,,,,,,
,,,,,,,,9,GYW,R,,AN,,GYR,R,,,,,,,,,,,,
,,,,,,,,13,RG,R,,AB,,RYBl,R,,,,,,,,,,,,
,,,,,,,,17,GBW,R,,T,,GG,R,,,,,,,,,,,,
,,,,,,,,105,RBR,G,,T,,GR,G,,,,,,,,,,,,
,,,,,,,,118,GW,R,,T,,GY,G,,,,,,,,,,,,
,,,,,,,,,GWG,R,,L,,RYB,G,,,,,,,,,,,,
,,,,,,,,,GBl,R,,AB,,RW,G,,,,,,,,,,,,
,,,,,,,,,RBG,,,T,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RWB,,,AB,,,,,,,,,,,,,,,
28,SCSR,5/14/16,2:45 PM,13,6,RR,5,0,RR,R,,H,7,GYR,R,, -RR,,,,G,75,145,70,4,,
,,,,,,,,,RBl,G,TP-G,T,,RYR,R,, -RBR,,,,,,, ,,,
,,,,,,,,,GWB,R,,L,,GBW,R,,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,RBG,R,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L,,RWY,R,,,,,,, , ,,,,
,,,,,,,,,,,,,,RY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GY,R,,,,,,,,,,,,
28,SCSR,5/14/16,3:15 PM,14,15,RG,5,0,RG,R,,L,7,RYW,R,, -GBW,,,,R,253,,NA,2,,
,,,,,,,,,RY,R,,L/T,,RW,R,, -RG,,WEB,, ,,,,,,
,,,,,,,,,GBW,G,,W/T,,RR,R,, +GBW,,,AB,,,,,,,
,,,,,,,,,RBG,R,TP-R,AB,,GWB,R,,,,,,,,,,,,
,,,,,,,,,GBR,R,,T,,GYW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GBY,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RBl,G,,,,,,,,,,,,
28,SCSR,5/14/16,4:08 PM,15,5,RYW,15,0,RYW,R,TP-R,H,3,GBR,R,, -RYR,,,,,,,,0,,
,,,,,,,,,RBl,G,TP-G,W/H/AB,,GWG,R,, -RYBl,,,,,,,,,,
,,,,,,,,,RYR,R,,AN,,RBG,R,, -RW,,,,,,,,,,
,,,,,,,,,RYBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RW,,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GBl,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
