frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GYW,R,,W,,GWBl,G,,,,,,,,,,,,
,,,,,,,,,GWY,G,,W,,GBG,R,,,,,,,,,,,,
,,,,,,,,,GWR,G,,L,,RBG,R,,,,,,,,,,,,
,,,,,,,,,GG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWG,,,AB,,,,,,,,,,,,,,,
15,SCSR,2/23/16,10:40 AM,14,110,RWG,1,0,RWG,G,,W,3,RW,G,, -RWG,,WEB,,,,,,0,,
,,,,,,,,,,,,,,GWR,G,, +RWG,,W,,,,,,,,
,,,,,,,,,,,,,,RWBl,R,,,,,,,,,,,,
15,SCSR,2/25/16,3:40 PM,15,35,GY,4,0,GY,G,,W,5,GYR,G,,,,,,,,,,0,,
,,,,,,,,,GWBl,R,,W/T,,GW,R,,,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,GB,G,,,,,,,,,,,,
,,,,,,,,,RW,R,,H,,GYB,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RWB,R,,,,,,,,,,,,
