frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GWR,UP,,L/H,,GWY,G,,,,,,,,,,,,
,,,,,,,,,GYW,UP,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,T/H,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,TP-G,H,,,,,,,,,,,,,,,
,,,,,,,,,GYR,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,GR,,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBR,,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RB,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWB,,,T,,,,,,,,,,,,,,,
,,,,,,,,,GG,UP,,H,,,,,,,,,,,,,,,
6,DC,3/12/16,4:35PM,4,14,RBG,12,0,RBG,UP,,L,2,GY,G,,,,,,,,,,0,,
,,,,,,,,,GYR,UP,,H,,GWR,UP,,,,,,,,,,,,
,,,,,,,,,GWB,G,,AN/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWB,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,H/AB,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWY,,,T,,,,,,,,,,,,,,,
,,,,,,,,,GBl,,,AB,,,,,,,,,,,,,,,
6,DC,3/13/16,1:15PM,5,5,RYBl,9,,RYBl,G,,AB,5,GW,G,, -RW,,WEB,,,,,,0,,
,,,,,,,,,GBR,UP,,H,,RWG,UP,, +RW,,,AB,,,,,,,
,,,,,,,,,RW,R,,L,,RY,UP,,,,,,,,,,,,
,,,,,,,,,GYW,G,,L,,GWY,G,,,,,,,,,,,,
,,,,,,,,,RYR,UP,,L,,RYG,UP,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBW,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,GBY,,,L,,,,,,,,,,,,,,,
6,DC,3/14/16,2:20PM,6,43,RBG,9,0,RBG,R,,L,4,GB,UP,, -GG,,WEB,,,,,,0,,
,,,,,,,,,GBl,UP,,W,,RWG,UP,, -GBl,,WEB,,,,,,,,
,,,,,,,,,RWB,UP,,W,,GWR,UP,, +GBl,,,AB,,,,,,,
,,,,,,,,,RWY,UP,,L,,RYG,R,, -RWB,,WEB,,,,,,,,
,,,,,,,,,GG,UP,,W,,,,, -RB,,,,,,,,,,
,,,,,,,,,GY,R,,H,,,,, -RBG,,,,,,,,,,
,,,,,,,,,RR,UP,,W,,,,, +RBG,,,W,,,,,,,
,,,,,,,,,RB,,,AB,,,,, -GY,,,,,,,,,,
,,,,,,,,,RBY,,,AN,,,,, -RR,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, -RBG,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, +RR ,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, +GBl,,,T,,,,,,,
,,,,,,,,,,,,,,,,, +RBG,,,H,,,,,,,
6,DC,3/15/16,11:50AM,7,2,RYBl,8,0,RYBl,R,,W,2,RG,G,WEB,,,,,,,,,0,,
,,,,,,,,,RWBl,R,,W,,GYW,G,,,,,,,,,,,,
,,,,,,,,,RWB,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,
6,DC,3/16/16,2:53PM,8,5,RBY,2,0,RBY,UP,,L,3,GBR,G,,,,,,,,,,0,,
,,,,,,,,,GWY,G,TP-G,L,,RY,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RWR,R,,,,,,,,,,,,
6,DC,3/21/16,3:50PM,9,11,RG,11,0,RG,UP,,AN,3,RYG,G,, -RBY,,WEB,,,,,,0,,
,,,,,,,,,RBG,UP,,AB,,RWB,G,,,,,,,,,,,,
,,,,,,,,,GR,R,,AN,,RBl,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWB,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBW,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,AB,,,,,,,,,,,,,,,
6,DC,3/22/16,3:20PM,10,73,GY,3,,GY,UP,,AN,4,GY,UP,, -GY,,,,,400,,,0,,
,,,,,,,,,RWY,UP,,L,,GBR,R,, +GY,,,L,,,,,,,
,,,,,,,,,RWR,R,TP-R/WEB,W,,RR,G,, -RWY,,WEB,,,,,,,,
,,,,,,,,,,,,,,GW,UP,, -RWR,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,,H,,,,,,,
,,,,,,,,,,,,,,,,, +RWY,,,L,,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,WEB,,,,,,,,
6,DC,3/23/15,10:35AM,11,25,RWG,7,0,RWG,R,,H,1,RWY,G,,,,,,,,,,0,,
,,,,,,,,,GYBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,TP-G,W,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBG,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,RYR,,,AB,,,,,,,,,,,,,,,
6,DC,3/24/16,2:35PM,12,40,RBG,8,,RBG,R,,L,5,GY,G,,,,,,,,,,0,,
,,,,,,,,,RBl,R,,AN,,GW,G,,,,,,,,,,,,
,,,,,,,,,GYR,G,WEB,W/AN,,GYW,R,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,W/T,,RWY,G,WEB,,,,,,,,,,,
,,,,,,,,,RBR,R,,W,,RB,G,,,,,,,,,,,,
,,,,,,,,,GYW,R,WEB,H,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,WEB,L,,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,AB,,,,,,,,,,,,,,,
6,DC,3/25/16,12:15PM,13,,RWBl,10,,RWBl,R,,AB,0,,,, -GBY,,,,,,,,0,,
,,,,,,,,,RYR,R,,L,,,,, +GBY,,,AB,,,,,,,
,,,,,,,,,RBG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWB,,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBR,,,T,,,,,,,,,,,,,,,
6,DC,3/26/16,11:30AM,14,20,GBR,11,,GBR,UP,,W/T,3,GR,G,, -GYW,,WEB,,,,,,0,,
,,,,,,,,,RBW,G,,L,,RWG,G,, -RWBl,,,,,,,,,,
,,,,,,,,,RWB,G,,L/AB,,RBl,,, -RWB,,,,,,,,,,
,,,,,,,,,RBR,G,,L,,,,, -GR,,,,,,,,,,
,,,,,,,,,RG,,,L,,,,, -GBl,UP,,,,,,,,,
,,,,,,,,,RR,UP,,L/T,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBl,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,,,L,,,,,,,,,,,,,,,
6,DC,3/28/16,9:50PM,15,7,RWR,11,,RWR,UP,,AB,2,RYW,R,, -RWR,,,,,,,,0,,
,,,,,,,,,GBW,UP,,H,,RWB,R,,,,,,,,,,,,
,,,,,,,,,RBY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,UP,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RB,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
