frame ID,TREATMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19/2/2016,10:50AM,11,108,GYG,1,,GYG,R,,LEG, - ,,,, -GYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20/2/2016,5:00PM,12,20,RWB,5,,RWB,R,,LEG,3,RBR,G,, -GWBl,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GWBl,,,GWBl,G,,LEG,,GWG,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RYR,,,RYR,R,,ANTENNA,,GBl,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GBY,,,GBY,G,,HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GWG,,,GWG,R,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22/2/2016,12:04PM,13,172,UNMARKED1,3,,UNMARKED1,G,,LEG,7,RWR,G,, -RWBl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,LEG,,UNMARKED,G,, -UNMARKED,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,WEB,LEG,,UNMARKED 2,G,, +RWBl,,WEB,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GBY,G,, -RWBl,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GWBl,R,, -GBR,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RWR,G,, +UNMARKED,,WEB,HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/23/16,4:54PM,14,,GBl,2,,GBl,R,TP-R,WING,,,,, -GBR,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,WING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2/25/16,11:20 am,15,118,GBY,,,GBY,G,,HEAD,2,RWBl,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,TP-DOWN,LEG,,GYR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,WING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-G,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
