frame ID,TEARTMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,RBW,R,,LEG,,,,, - GYR,R,,,,,,,,
,,,,,,,,,GYR,G,,ABDOMEN,,,,,,,,,,,,,,
,,2/18/16,12:15 pm,11,2,GYG,7,,GYG,G,,LEG,,,,, - GG,,,,,,,,,
,,,,,,,,,GY,R,TP-R,LEG,,,,, - RYG,R,WEB,,,,,,,
,,,,,,,,,GW,R,,HEAD,,,,, + GG,,,,,,,,,
,,,,,,,,,GG,R,TP-R,HEAD,,,,, + RYG,,,THORAX,,,,,,
,,,,,,,,,RYG,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,TP-R,HEAD,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,HEAD,,,,,,,,,,,,,,
,,2/19/16,2:30 pm,12,2,GYW,9,,GYW,G,,LEG,,,,, - GY,,WEB,,,,,,,
,,,,,,,,,RYR,R,TP-R,HEAD,,,,, + GY,,,,,,,,,
,,,,,,,,,GY,R,,,,,,, - GW,,,,,,,,,
,,,,,,,,,GW,R,,WING,,,,, - GBW,R,,,,,,,,
,,,,,,,,,GBW,R,,LEG,,,,, + GBW,,,,,,,,,
,,,,,,,,,RW,R,,WING,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,WING,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,HEAD,,,,,,,,,,,,,,
,,2/20/16,2:09 pm,13,38,GBW,5,,GBW,R,TP-R,LEG,,,,, - RWBl,,,,,,,,,
,,,,,,,,,RYG,R,TP-G,ANTENNA,,,,, + RWBl,,,,,,,,,
,,,,,,,,,UNMARKED,G,,WING,,,,, - UNMARKED,,,,,,,,,
,,,,,,,,,RWBl,R,,LEG,,,,, - GYBl,,,,,,,,,
,,,,,,,,,GYBl,R,,WING,,,,, + GYBl,,,,,,,,,
,,2/22/16,2:09 pm,14,26,GBl,4,0,GBl,G,TP-G,LEG,,,,,,,,,,,,,,
,,,,,,,,4,GYR,G,,LEG/ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,6,GWY,G,TP-G,LEG,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,ABDOMEN,,,,,,,,,,,,,,
,,2/25/16,2:46 pm,15,25,RBl,9,,RBl,R,,LEG,,,,, -RBl,,,,,,,,,
,,,,,,,,,GYBl,G,,THORAX,,,,, + RBl,,,,,,,,,
,,,,,,,,,RWR,G,,LEG,,,,, - RBL,,,,,,,,,
,,,,,,,,,GWY,G,,HEAD,,,,, - RWR,,,,,,,,,
,,,,,,,,,RWG,G,,LEG,,,,, - RWG,,,,,,,,,
,,,,,,,,,GWG,R,,WING,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,ABDOMEN,,,,,,,,,,,,,,
