frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreat of coming and going back ,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,GYR,R,,AB,,,,,,,,,,,,,,
11,SCSR,2/19/16,12:55PM,4,1,GY,7,0,GY,R,,L,3,GBY,G,, -GWY,,WEB,,,,,,0,
,,,,,,,,,RWG,R,,L/H,,RWBl,G,, +GWY,,,AB,,,,,,
,,,,,,,,,RBR,R,,L/H,,RBY,G,, -RWG,,,,,,,,,
,,,,,,,,,GYW,G,,L,,,,, +RWG,,,,,,,,,
,,,,,,,,,RW,G,,L/H,,,,, -GYW,,,,,,,,,
,,,,,,,,,RW,R,,W,,,,, +GYW,,,AB,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,
11,SCSR,2/20/16,3:50 PM,5,10,GYW,7,0,GYW,R,,H,2,RBl,R,, -RYG,,,,,,,,0,
,,,,,,,,,GYR,G,TP-G,L/AB,,RWR,R,, -RWG,,,,,,,,,
,,,,,,,,,RWY,R,,W,,,,, +RYG,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,AB,,,,, +RWG,,,,,,,,,
,,,,,,,,,GW ,R,,L,,,,, -RYR,,,,,,,,,
,,,,,,,,,RYG,G,TP-G,L,,,,, +RYR,,,,,,,,,
,,,,,,,,,RWG,G,,L,,,,, -RWY,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SCSR,2/23/16,4:02 PM,6,5,RYR,8,0,RYR,R,,L,4,GB,R,, -GG,,,,,,,,0,
,,,,,,,,,GBl,G,TP-DOWN,L,,GW,R,, +GG,,,H,,,,,,
,,,,,,,,,RB,G,,L,,RYG,R,, -GG,,,,,,,,,
,,,,,,,,,GWR,R,,W,,RBl,R,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,T,,,,,,,,,,,,,,
11,SCSR,2/25/16,12:15PM,7,12,GYW,11,0,GYW,G,TP-R,L,0,,,, -GYW,,WEB,,,,,,0,
,,,,,,,,,RR,R,,L,,,,, -GW,,,,,,,,,
,,,,,,,,,RYB,R,,W,,,,, -RW,,WEB,,,,,,,
,,,,,,,,,RB,R,,H,,,,, -RW,,WEB,,,,,,,
,,,,,,,,,RW,R,,AB,,,,, -RYBl,,,,,,,,,
,,,,,,,,,GY,G,,W,,,,, -RYB,,,,,,,,,
,,,,,,,,,RW,R,WEB,AN,,,,, -GY,,,,,,,,,
,,,,,,,,,GW,G,,L,,,,, +GYW,,,,,,,,,
,,,,,,,,,RYBl,R,,H,,,,, +GW,,,,,,,,,
,,,,,,,,,RWY,G,,H,,,,, +RW,,,,,,,,,
,,,,,,,,,,,,,,,,, +RYBl,,,,,,,,,
,,,,,,,,,,,,,,,,, +RYB ,,,,,,,,,
,,,,,,,,,,,,,,,,, +GY ,,,,,,,,,
11,SCSR,2/26/16,12:10PM,8,30,GWG,7,0,GWG,R,TP-R,AB,3,RR,G,, -RYG,,WEB,,,,,,0,
,,,,,,,,,GY,R,TP-R,L,,RB,R,, ,,,,,,,,,
,,,,,,,,,GW,R,TP-R,AB,,GYR,R,,,,,,,,,,,
,,,,,,,,,RYG,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,TP-R,W,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,T,,,,,,,,,,,,,,
11,SCSR,2/27/16,11:05 AM,9,15,GB,12,0,GB,R,,L,0,,,, -RYR,,WEB,,,,,,0,
,,,,,,,,,GWBl,R,,H,,,,, +RYR,,,,,,,,,
,,,,,,,,,RW,R,,T,,,,, -RWY,,,,,,,,,
,,,,,,,,,RYR,R,,W,,,,, -GG,,,,,,,,,
,,,,,,,,,RBR,R,,L/AB,,,,, -RWG,,WEB,,,,,,,
,,,,,,,,,RWY,G,,W,,,,, +RWG,,,L,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,, -RYB,,,,,,,,,
,,,,,,,,,RYBl,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RYB ,R,,H/L,,,,,,,,,,,,,,
11,SCSR,2/28/16,2.45PM,10,12,RB,13,0,RB,R,TP-R,L,1,RWG,R,, -GWY,R,WEB,,,,,,0,
,,,,,,,,,RW,R,TP-R,L,,,,, -RB,,,,,,,,,
,,,,,,,,,GBG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,H,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,T,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,T/H,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,
11,SCSR,3/2/16,4.00 PM,11,10,RBG,6,0,RBG,R,,H,3,GWBl,R,, -RB,,WEB,,,,,,0,
,,,,,,,,,RWG,R,TP-R,L,,GWY,R,, +RB,,,AB,,,,,,
,,,,,,,,,RBY,R,,W,,GG,R,, -RB,,,,,,,,,
,,,,,,,,,RWY,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RB,R,WEB,L,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,L,,,,,,,,,,,,,,
11,SCSR,3/3/16,11.00AM,12,83,RYG,3,0,RYG,R,,L,0,,,,,,,,,,,,0,
,,,,,,,,,GYR,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,W,,,,,,,,,,,,,,
11,SCSR,3/4/16,12.01PM,13,13,RBR,7,0,RBR,R,TP-R,W/AN,2,RW,R,, -RBY,,,,G,,,NA,4,
,,,,,,,,,RYBl,R,,W/T,,GG,R,, +RBY,,,AB,,,,,,
,,,,,,,,,RWG,R,,L,,,,, -GBl,,,,,,,,,
,,,,,,,,,RYG,R,,L,,,,, +GBl,,,W,,,,,,
,,,,,,,,,RBY,R,,AN,,,,, -RBY,,,,,,,,,
,,,,,,,,,RB,R,,AN,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,AN,,,,,,,,,,,,,,
11,SCSR,3/5/16,3:20PM,14,8,RYG,7,0,RYG,R,TP-R,W,0,,,,,,,,,,,,0,
,,,,,,,,,GG,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,H,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,H/T,,,,,,,,,,,,,,
11,SCSR,3/8/16,2:45PM,15,18,RBY,5,,RBY,R,,L,2,RBR,R,, -RBY,,,,,,,,0,
,,,,,,,,,RWG,R,,H,,GYR,R,, -RYG,,,,,,,,,
,,,,,,,,,RYG,R,TP-R,W,,,,, +RBY,,,L,,,,,,
,,,,,,,,,GG,G,,L,,,,, +RYG,,,H,,,,,,
,,,,,,,,,RYBl,G,,H,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
