frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,RBG,R,,W,,GYR,G,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,RR,G,,,,,,,,,,,,
,,,,,,,,,RW ,R,,AB,,RWY,G,,,,,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB/W,,,,,,,,,,,,,,,
20,SCSR,2/16/16,4:50 PM,3,60,RWR,11,0,RWR,G,,H,6,RBl,G,, -GWG,,,,,,,,0,Except 2 all others are went back toRetreat dur to external factor / air,
,,,,,,,,,GWG,G,,W,,RYG,G,, -GWB,,,,,,,,,,
,,,,,,,,,GWB,G,,W,,RBW,G,, -RB,,,,,,,,,,
,,,,,,,,,RB,G,,H,,GBW,G,, -RBY,,,,,,,,,,
,,,,,,,,,RBR,R,TP-R,AB,,GWY,G,, -RYW,,,,,,,,,,
,,,,,,,,,GBY,G,,H,,GBR,G,, -GBY,,,,,,,,,,
,,,,,,,,,RBY,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYW,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,L ,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,H,,,,,,,,,,,,,,,
20,SCSR,2/17/16,9:30 AM,4,10,RR,16,0,RR,G,,T,14,RYB,G,, -RWY,,,,,,,,0,,
,,,,,,,,,RBW,G,,L,,GW,G,, +RWY ,,,,,,,,,,
,,,,,,,,,GG,R,,L,,GBl,G,,,,,,,,,,,,
,,,,,,,,,GY,R,,L,,RBR,G,,,,,,,,,,,,
,,,,,,,,,GWR,G,,L,,GBY,G,,,,,,,,,,,,
,,,,,,,,,RY,G,,AB,,GBW,G,,,,,,,,,,,,
,,,,,,,,,RBY,G,,AB,,GBR,G,,,,,,,,,,,,
,,,,,,,,,RG,G,,W,,GWY,G,,,,,,,,,,,,
,,,,,,,,,RYG,G,,AB,,GWB,R,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB,,GWBl,R,,,,,,,,,,,,
,,,,,,,,,GWG,G,,T,,GYG,R,WEB,,,,,,,,,,,
,,,,,,,,,GR,G,,T,,RW,G,,,,,,,,,,,,
,,,,,,,,,RWY,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,,,,,,,,,,,,,,,,
,,,,,,,,,GBG,R,,W,,,,,,,,,,,,,,,
20,SCSR,2/18/16,4:15 PM,5,12,RBY,11,0,RBY,G,,W,6,GWB,R,,,,,,,,,,0,,
,,,,,,,,,GBY,R,,T,,GWBl,R,,,,,,,,,,,,
,,,,,,,,,GY,G,,H,,RB,R,,,,,,,,,,,,
,,,,,,,,,GB,G,TP,H/AB,,GG,R,,,,,,,,,,,,
,,,,,,,,,RYG,R,,W,,GBl,R,,,,,,,,,,,,
,,,,,,,,,GBR,G,TP-G,L,,RWY,R,,,,,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,,
20,SCSR,2/19/16,4:50 PM,6,61,RBY,7,0,RBY,R,,H,3,GBY,R,,,,,, - ,,,,0,,
,,,,,,,,18,RBG,G,,L,,GB,G,,,,,,,,,,,,
,,,,,,,,27,RY,G,,W,,GWG,R,,,,,,,,,,,,
,,,,,,,,60,RWR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,69,RR,R,,H,,,,,,,,,,,,,,,
,,,,,,,,83,RB,G,,W,,,,,,,,,,,,,,,
,,,,,,,,197,GBR,G,,W,,,,,,,,,,,,,,,
20,SCSR,2/20/16,11:13 AM,7,50,GBY,13,0,GBY,G,,L/AB,4,GWY,G,,,,,,,,,,0,,
,,,,,,,,,RYR,R,,L,,RBW,G,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,AN,,RYB,R,,,,,,,,,,,,
,,,,,,,,,RY,G,,H/L,,RYG,R,WEB,,,,,,,,,,,
,,,,,,,,,RWR,R,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWB,G,,L ,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,L/AB,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBG,R,,,,,,,,,,,,,,,,,
20,SCSR,2/22/16,4:00 PM,8,7,RBY,10,0,RBY,R,,H,3,GWY,G,, -GY,,,,,,,,0,,
,,,,,,,,1,RYG,G,,AB,,GWG,R,, +GY,,,AB,,,,,,,
,,,,,,,,2,GBY,G,,AB,,RBR,R,,,,,,,,,,,,
,,,,,,,,5,RW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,9,RBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,11,RR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,22,RWR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,56,RB,G,,T,,,,,,,,,,,,,,,
,,,,,,,,105,GBG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,175,GY,R,,AB,,,,,,,,,,,,,,,
20,SCSR,2/23/16,11:35 AM,9,2,RBY,10,0,RBY,G,,AB,3,RYB,G,,,,,,,,,,0,,
,,,,,,,,,GR,G,,AB,,GB,R,,,,,,,,,,,,
,,,,,,,,,RY,R,,T,,RG,R,,,,,,,,,,,,
,,,,,,,,,GBG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GWG,R,,AB,,,,,,,,,,,,,,,
20,SCSR,2/26/16,12:55 PM,10,20,RY,13,0,RY,G,,T,2,GWG,G,,,,,,,,,,0,,
,,,,,,,,,RBY,G,,AB,,RBR,G,,,,,,,,,,,,
,,,,,,,,,RWY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,AB,,,,,,,,,,,,,,,
20,SCSR,2/29/16,11:50 PM,11,8,RBY,8,0,RBY,G,,L,1,GR,R,,,,,,,,,,0,,
,,,,,,,,,RWBl,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,W,,,,,,,,,,,,,,,
,,,Should it be 11:50AM?,,,,,,GBY,R,TP-G,W,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,H,,,,,,,,,,,,,,,
20,SCSR,3/2/16,3:25 PM,12,8,RWBl,9,0,RWBl,G,,L,1,GR,R,, -RW,,,,G,,,NA,1,,
,,,,,,,,,RG,R,,H,,,,, -RG,,,,,,,,,,
,,,,,,,,,RBY,G,TP-DOWN,W,,,,, +RG,,,T,,,,,,,
,,,,,,,,,GG,G,,AB,,,,, -RWBl,,WEB,,,,,,,,
,,,,,,,,,RW,R,,L,,,,, -RB,,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,, -GG,,,,,,,,,,
,,,,,,,,,RBG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,TP-G,L,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,,,,,,,,,,,,,,,,
20,SCSR,3/3/16,9:50 AM,13,50,RB,7,0,RB,G,,L/AB,3,RW,G,, -RY,,,, - ,,,,0,,
,,,,,,,,,RBY,G,,L/AB,,RBG,G,,,,,,,,,,,,
,,,,,,,,,RBW,G,,L/AB,,RWBl,G,,,,,,,,,,,,
,,,,,,,,,GBY,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RY,,,H,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,AB,,,,,,,,,,,,,,,
20,SCSR,3/4/16,10:15 AM,14,5,RY,8,0,RY,G,TP-UP,L/T,1,RWBl,R,, -RBY,,,,,,,,0,,
,,,,,,,,,GG,R,,L,,,,, -GG,,,,,,,,,,
,,,,,,,,,RBY,R,TP-R,L,,,,, +RBY,,,H,,,,,,,
,,,,,,,,,RB,G,,W,,,,, -RW,,WEB,,,,,,,,
,,,,,,,,,RW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,AB,,,,,,,,,,,,,,,
20,SCSR,3/5/16,3:00 PM,15,9,RBY,7,0,RBY,R,,L,3,RW,R,, -RBG,,,,R,,,NA,1,,
,,,,,,,,,RY,G,TP-UP,W/H,,GR,G,, +RBG,,,AB,,,,,,,
,,,,,,,,,GBY,R,TP-R,W,,RB,G,,,,,,,,,,,,
,,,,,,,,,RBG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
