frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GY,,,H,,,,,,,,,,,,,,,
22,SCDR,3/15/16,3:45 PM,7,11,GYR,7,0,GYR,R,,L/AB,3,GG,R,, -GBl,,,,,,,,0,,
,,,,,,,,,GBl,G,,L,,GYG,G,, +GBl,,,AB,,,,,,,
,,,,,,,,,RB,R,TP-R,W,,RW,G,WEB, -GYR,,,,,,,,,,
,,,,,,,,,GBG,R,,L,,,,, +GYR,,,T,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,T,,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,H,,,,,,,,,,,,,,,
22,SCDR,3/16/16,9:52 AM,8,NA,GYW,4,0,GYW,G,WEB,H,0,,,, -RBY,,WEB,,,,,,0,,
,,,,,,,,,RG,G,TP-DOWN,L/H,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,L,,,,, -GYW,,,,,,,,,,
,,,,,,,,,RYG,G,,L,,,,, +GYW,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, -GYW,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, +GYW,,WEB,AB,,,,,,,
22,SCDR,3/17/16,2:30 PM,9,23,RBR,12,0,RBR,UP,,L,2,RW,R,, -GB,,,,,,,,0,,
,,,,,,,,,RBW,G,,L,,GWG,G,,,,,,,,,,,,
,,,,,,,,,GY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB/H,,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GBG,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWG,,,AB,,,,,,,,,,,,,,,
22,SCDR,3/18/16,12:25 PM,10,24,GY,4,0,GY,DOWN,,L,2,RWB,R,, -GY,,,,,,,,0,,
,,,,,,,,,RBY,G,,H,,RYW,R,, -RB,,,,,,,,,,
,,,,,,,,,RB,DOWN,,W,,,,, +GY,,,L,L,,,,,,
,,,,,,,,,GG,R,,W,,,,, +RB,,,W,,,,,,,
22,SCDR,3/21/16,2:38 PM,11,5,RBY,8,0,RBY,R,,,1,GYB,R,,,,,,,,,,0,,
,,,,,,,,,RG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,H,,,,,,,,,,,,,,,
22,SCDR,3/22/16,2:00 PM,12,10,GYB,7,0,GYB,R,,L,0,,,,,,,,,,,,0,,
,,,,,,,,,GBY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,W,,,,,,,,,,,,,,,
22,SCDR,3/23/16,11:59 AM,13,30,GBl,8,0,GBl,R,,L/H,3,GWBl,G,, -GYW,,,,,,,,0,,
,,,,,,,,,GYW,G,,L,,RB,G,, +GYW,,,T,,,,,,,
,,,,,,,,,RBl,R,,W/AB,,GYB,G,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,L/AB,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,T,,,,,,,,,,,,,,,
22,SCDR,3/24/16,11:15 AM,14,40,RBW,2,0,RBW,R,TP-R/WEB,W/H,0,,,, -GYG,,,,,,,,0,,
,,,,,,,,,GYG,R,,W,,,,, -RBW,,,,,,,,,,
22,SCDR,3/25/16,2:30 PM,15,28,RYG,4,0,RYG,R,,AN,,,,,,,,,,,,,0,,
,,,,,,,,,GYW,G,TP-UP,W/T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,,
22,SCDR,3/26/16,10:26 AM,16,66,RR,1,0,RR,R,TP-R,W,0,,,,,,,,,,,,0,,
22,SCDR,3/28/16,10:30 AM,17,38,GYW,7,0,GYW,R,,L,5,GYG,UP,, -GYW,,,,,,,,0,,
,,,,,,,,,RB,G,,L/T,,RBl,R,, +GYW,,,L,,,,,,,
,,,,,,,,,GWY,G,,L,,GG,R,,,,,,,,,,,,
,,,,,,,,,RYBl,R,WEB,AN,,RW,G,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,H,,,,,,,,,,,,,,,
22,SCDR,3/31/16,5:00 PM,18,21,GYR,4,0,GYR,R,,L,3,RYW,G,, -RWB,,,,,,,,0,,
,,,,,,,,,RWB,R,,W,,RWBl,G,,,,,,,,,,,,
,,,,,,,,,GBl,R,,W,,GYB,R,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,L,,,,,,,,,,,,,,,
22,SCDR,4/1/16,10:32 AM,19,32,GYR,5,0,GYR,R,,L,2,GWY,R,, -RBl,,,,,,,,0,,
,,,,,,,,,RBG,R,,AN/L,,GY,R,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,WEB,L,,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,L,,,,,,,,,,,,,,,
22,SCDR,4/4/16,12:25 PM,20,126,RBY,1,0,RBY,G,TP-G,W,0,,,,,,,,G,302,,NA,1,,
22,SCDR,4/5/16,2:30 PM,21,19,RB,3,0,RB,G,,L,0,,,, -RB,,,,G,,,NA,2,,
,,,,,,,,,RBW,G,TP-G,L,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,AN,,,,,,,,,,,,,,,
22,SCDR,4/7/16,12:54 PM,22,13,RB,4,0,RB,UP,,W,0,,,, -GYR,,,,,,,,0,,
,,,,,,,,,RBl,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,,,,,,,,,,,,,,,,
22,SCDR,4/8/16,12:49 PM,23,62,RB,2,0,RB,G,,AN,0,,,, -RWBl,,,,,,,,0,,
,,,,,,,,,RWBl,G,,AN,,,,,,,,,,,,,,,
22,SCDR,4/13/16,12:09 PM,24,220,RB,1,0,RB,G,TP-G/WEB,,0,,,,,,,,G,483,,,0,,
22,SCDR,4/13/16,4:55 PM,25,50,RB,1,0,RB,G,TP-G/WEB,AB,1,RBW,R,WEB,,,,,G,70,,NA,2,,
